,S&P,EURUSD,ESTX600,EURUSD3mBS,UST10,DEM10,UST2,DEM2,USYC,DEYC,SOFR,ESTR,CDX IG,CDX HY,ITRX IG,ITRX XO,CO,US5BEI,FR5BEI,VIX
S&P,1.0,0.20327156269518584,0.6010844934723732,0.043974195001828156,0.17479657373856025,0.014714126396444826,0.06258758076286922,0.012084418259774304,0.07167069755273321,0.03153766291841944,0.019882165654964958,-0.021442360432466067,-0.7103505430014299,-0.7810263817613685,-0.6003714055283416,-0.6350888811804632,0.19876567380754814,0.3473712880867319,0.11408500600490687,-0.7745526418853683
EURUSD,0.20327156269518584,1.0,0.1328014430391196,0.08256506005316391,-0.16832951556377967,0.03031012733520953,-0.21128470107597203,0.05769884395562188,0.03733523984511465,0.01652742413253388,0.009030347662924298,0.014405807283010413,-0.1425360009094146,-0.2212236961006784,-0.17011036338286198,-0.20963862443674539,0.09840536907917646,0.01932457637062459,-0.017403194113129898,-0.05448856404141159
ESTX600,0.6010844934723732,0.1328014430391196,1.0,0.15695032016548008,0.19428638438176082,0.13892750516573873,0.1639609650425838,0.127289899880569,-0.0322166765800985,0.02444758244492855,-0.004345583571882916,0.007861641314888748,-0.48551876651331677,-0.5616625727099603,-0.7245725651232008,-0.750454456312923,0.21183396986695874,0.3467407040454136,0.09145682305650842,-0.5078418068173508
EURUSD3mBS,0.043974195001828156,0.08256506005316391,0.15695032016548008,1.0,0.054758333623011884,0.07755712479044505,0.13040833345613304,0.2323056472964008,-0.024925983623290338,-0.027326218807027722,0.06404096541741783,0.07154858188823937,0.04341101149069798,-0.03601547611694223,-0.15730105262761826,-0.16010839186061346,0.03027721767408483,0.11386032100323035,0.11233266170227403,-0.0575197010418571
UST10,0.17479657373856025,-0.16832951556377967,0.19428638438176082,0.054758333623011884,1.0,0.6702629888987808,0.7524840906767684,0.505103238138148,0.3539544764657543,0.1121335272610475,0.01190554245718892,-0.04255841192746029,-0.18117768547216026,-0.19165670616361968,-0.1635705174509464,-0.15402303126804734,0.1005020866074813,0.30245300730339686,0.1073619892168539,-0.22707603700101495
DEM10,0.014714126396444826,0.03031012733520953,0.13892750516573873,0.07755712479044505,0.6702629888987808,1.0,0.5783629786436203,0.8192069017683399,0.01742311230446755,0.28934584719999096,-0.0018859107986067204,0.004127329125214031,-0.059141687545609174,-0.049024444635091736,-0.12549173250807746,-0.10716137479332499,0.15874089059437424,0.24556026267860845,0.2162319507047767,-0.07004486137004164
UST2,0.06258758076286922,-0.21128470107597203,0.1639609650425838,0.13040833345613304,0.7524840906767684,0.5783629786436203,1.0,0.616093949272464,-0.34962862144953616,-0.006382603748336954,-0.007895019535333869,-0.045145768967882895,-0.12274447934859475,-0.10508079538677374,-0.15357407677108903,-0.1306874150924507,0.05342793280410347,0.2246823868780289,0.09607691284427626,-0.13956989183832919
DEM2,0.012084418259774304,0.05769884395562188,0.127289899880569,0.2323056472964008,0.505103238138148,0.8192069017683399,0.616093949272464,1.0,-0.028619370958635565,-0.2619048046148165,0.0159318005650137,0.05256729948619876,-0.058540186421615265,-0.0461595038950078,-0.1586621885603111,-0.132331945589846,0.1537758493054258,0.18942108116525522,0.2797178813721003,-0.07018653677947803
USYC,0.07167069755273321,0.03733523984511465,-0.0322166765800985,-0.024925983623290338,0.3539544764657543,0.01742311230446755,-0.34962862144953616,-0.028619370958635565,1.0,0.11763258505676341,0.0281218058596208,0.008888610182198829,-0.04053733604330283,-0.06572756161611325,0.009757965336729962,0.010582062659910135,-0.003595577832673229,0.11118509297045996,0.029882013116274378,-0.050812361151382913
DEYC,0.03153766291841944,0.01652742413253388,0.02444758244492855,-0.027326218807027722,0.1121335272610475,0.28934584719999096,-0.006382603748336954,-0.2619048046148165,0.11763258505676341,1.0,-0.0017422693879338407,-0.07878184021326573,-0.0029533606672255443,-0.00590059968489807,0.0012600042382537864,0.0014672953307719415,-0.03639990716283883,0.03783652814231877,-0.13177166701083506,-0.01839047553456208
